stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,zone_id,level_id
de:11000:900100007::3,,S Oranienburger Str. (Berlin),Ersatzhalt Tucholskystraße vor Oranienburger Straße,52.524724,13.392833,0,,0,,5555 S Oranienburger Str. (Berlin),4.0
de:11000:900160004:3:54,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 17,52.510002,13.49649,0,de:11000:900160004,0,17.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900160004:2:52,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 15,52.510275,13.497433,0,de:11000:900160004,0,15.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900160004:2:53,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 16,52.510367,13.497302,0,de:11000:900160004,0,16.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900160004:3:55,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 20,52.510088,13.496357,0,de:11000:900160004,0,20.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900160004:4:56,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 21,52.510126,13.496304,0,de:11000:900160004,0,21.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900160004:4:57,,S+U Lichtenberg Bhf (Berlin),Bahnsteig Gleis 22,52.510215,13.496164,0,de:11000:900160004,0,22.0,5656 S+U Lichtenberg Bhf (Berlin),102.0
de:11000:900120005:1:50,,S Ostbahnhof (Berlin),Bahnsteig Gleis 1,52.510244,13.434586,0,de:11000:900120005,0,1.0,5555 S Ostbahnhof (Berlin),107.0
de:11000:900120005:2:51,,S Ostbahnhof (Berlin),Bahnsteig Gleis 2,52.510179,13.434942,0,de:11000:900120005,0,2.0,5555 S Ostbahnhof (Berlin),107.0
de:11000:900120005:2:52,,S Ostbahnhof (Berlin),Bahnsteig Gleis 3,52.510253,13.435024,0,de:11000:900120005,0,3.0,5555 S Ostbahnhof (Berlin),107.0
de:11000:900120005:3:53,,S Ostbahnhof (Berlin),Bahnsteig Gleis 6,52.510413,13.435172,0,de:11000:900120005,0,6.0,5555 S Ostbahnhof (Berlin),107.0
de:11000:900120005:3:54,,S Ostbahnhof (Berlin),Bahnsteig Gleis 7,52.510474,13.43524,0,de:11000:900120005,0,7.0,5555 S Ostbahnhof (Berlin),107.0
de:11000:900100003:1:50,,S+U Alexanderplatz Bhf (Berlin),Bahnsteig Gleis 1,52.52145,13.411009,0,de:11000:900100003,0,1.0,5555 S+U Alexanderplatz Bhf (Berlin),15.0
de:11000:900037168:1:50,,"Berlin, Albrechtshof Bhf",Bahnsteig Gleis 1,52.549376,13.129182,0,de:11000:900037168,0,1.0,"5656 Berlin, Albrechtshof Bhf",5.0
de:11000:900037168:2:51,,"Berlin, Albrechtshof Bhf",Bahnsteig Gleis 2,52.549303,13.129131,0,de:11000:900037168,0,2.0,"5656 Berlin, Albrechtshof Bhf",5.0
000300178003,,S Schönefeld (bei Berlin) Bhf,Bahnsteig Gleis 7+9 Fernbahn,52.391152,13.512816,0,de:12061:900260005,0,7.0,5957 S Schönefeld (bei Berlin) Bhf,4.0
de:12061:900260005:1:50,,S Schönefeld (bei Berlin) Bhf,Bahnsteig Gleis 3 Fernbahn,52.391305,13.512632,0,de:12061:900260005,0,3.0,5957 S Schönefeld (bei Berlin) Bhf,4.0
de:12061:900260005:2:52,,S Schönefeld (bei Berlin) Bhf,Bahnsteig Gleis 4,52.391434,13.512447,0,de:12061:900260005,0,4.0,5957 S Schönefeld (bei Berlin) Bhf,4.0
de:12061:900260005:1:51,,S Schönefeld (bei Berlin) Bhf,Bahnsteig Gleis 5,52.391221,13.512731,0,de:12061:900260005,0,5.0,5957 S Schönefeld (bei Berlin) Bhf,4.0
de:12061:900260005:2:53,,S Schönefeld (bei Berlin) Bhf,Bahnsteig Gleis 6,52.391518,13.51233,0,de:12061:900260005,0,6.0,5957 S Schönefeld (bei Berlin) Bhf,4.0
de:11000:900064301:2:51,,S Lichterfelde Ost Bhf (Berlin),Bahnsteig Gleis 4,52.429576,13.328766,0,de:11000:900064301,0,4.0,5656 S Lichterfelde Ost Bhf (Berlin),33.0
de:11000:900064301:1:50,,S Lichterfelde Ost Bhf (Berlin),Bahnsteig Gleis 3,52.429599,13.328701,0,de:11000:900064301,0,3.0,5656 S Lichterfelde Ost Bhf (Berlin),33.0
de:11000:900152001:2:52,,S Hohenschönhausen Bhf (Berlin),Bahnsteig Gleis 3,52.566014,13.512471,0,de:11000:900152001,0,3.0,5656 S Hohenschönhausen Bhf (Berlin),22.0
